id;name;sku;description;category;unit;barcode;min_stock;max_stock;reorder_level;created_at;updated_at
1;Thermal Paper Roll 57mm;BG-POS-0057;Thermal roll for POS printers, 57mm x 30m;POS & Office Supplies;roll;3801234500012;50;600;120;2025-11-25T01:44:32;2025-11-25T09:04:30
2;Packaging Tape 48mm;BG-PACK-0048;Brown packaging tape, 48mm x 66m, strong adhesive;Packaging Materials;roll;3801234500029;80;1200;200;2025-11-25T05:43:19;2025-11-25T20:31:43
3;Latex Gloves Size M (100 pcs);BG-SAF-GLVM;Non-powdered latex gloves size M, box of 100;Safety & PPE;box;3801234500036;20;300;60;2025-11-25T02:27:29;2025-11-25T07:18:07
4;WD-40 400ml;BG-MRO-WD40;Multi-purpose lubricant spray 400ml;Maintenance & Repair;pcs;3801234500043;10;120;25;2025-11-25T05:07:02;2025-11-25T12:32:50
5;UTP Cable Cat6 305m;BG-NET-C6BX;UTP Cat6 cable, 305m box, copper conductor;Cables & Networking;roll;3801234500050;3;40;8;2025-11-25T10:22:06;2025-11-25T16:10:52
6;Permanent Marker Black;BG-STA-MRK1;Permanent marker, black ink, 1.5mm tip;Stationery;pcs;3801234500067;30;500;90;2025-11-25T21:53:04;2025-11-25T22:22:07
7;Shipping Boxes 40x30x30;BG-PACK-4030;Double-wall shipping box 40x30x30 cm;Packaging Materials;pcs;3801234500074;50;800;150;2025-11-25T15:18:58;2025-11-25T18:35:47
8;Industrial Degreaser 5L;BG-CHEM-5L01;Industrial degreaser, 5L canister;Cleaning Chemicals;canister;3801234500081;5;80;15;2025-11-25T12:56:44;2025-11-25T14:31:35
9;Bolts M8x20 (100 pcs);BG-HW-M8X20;Zinc-plated bolts M8x20, pack of 100;Hardware & Fasteners;pack;3801234500098;20;300;50;2025-11-25T05:41:54;2025-11-25T06:37:54
10;A4 Labels (100 sheets);BG-OFF-LBL1;Self-adhesive A4 labels, 100 sheets, laser compatible;POS & Office Supplies;pack;3801234500104;10;200;30;2025-11-25T03:41:00;2025-11-25T09:26:09
